iter	RMSE
351	258.6353255
352	257.9619732
353	256.3769898
354	254.8172031
355	254.5872366
356	254.424581
357	252.9269485
358	251.4561141
359	250.0949506
360	249.1913531
361	248.3164506
362	246.9011583
363	246.6949878
364	246.5170265
365	246.3052744
366	245.3551716
367	244.8801524
368	244.1269286
369	243.006131
370	242.0566064
371	241.0473211
372	240.0966762
373	239.4223381
374	238.6457587
375	237.5282347
376	236.2950817
377	235.7865081
378	234.7480697
379	233.6971017
380	232.8707087
381	231.9504283
382	231.08505
383	229.9289429
384	229.7336025
385	228.4118598
386	226.9080113
387	226.2633359
388	225.7438777
389	224.9884335
390	224.6504413
391	223.091987
392	221.6611012
393	220.51281
394	219.9263783
395	218.5856157
396	217.097985
397	215.5867661
398	214.6927964
399	213.8139723
400	212.5813676
401	212.1764909
402	210.6704888
403	209.5694779
404	208.2041126
405	208.0512743
406	207.9097861
407	206.5280425
408	206.3929689
409	206.1984057
410	205.7558758
411	205.0288789
412	204.5111919
413	203.3635573
414	202.209805
415	201.4149002
416	200.517857
417	199.7683079
418	198.5633261
419	198.0839413
420	197.4614591
421	196.8665425
422	196.1871408
423	195.037381
424	194.1680044
425	193.7090126
426	192.4440665
427	192.1814328
428	191.717776
429	191.170434
430	190.2349519
431	189.0474156
432	188.3026933
433	187.5837008
434	187.0778191
435	186.5896101
436	185.2492298
437	184.5870343
438	183.9397831
439	182.8966324
440	181.7916683
441	181.0000555
442	179.9514878
443	179.0004592
444	178.2444815
445	177.7365333
446	177.1130264
447	176.8269148
448	175.9085536
449	175.5224264
450	174.4895735
451	173.494866
452	172.9334294
453	172.0247619
454	171.8589211
455	171.4001049
456	170.8817934
457	170.2507112
458	169.6072889
459	169.261468
460	168.5297904
461	167.5063463
462	166.3967688
463	166.2996522
464	165.895407
465	165.13851
466	163.9978044
467	163.5419588
468	162.6985153
469	161.7999076
470	161.2074852
471	161.1038383
472	160.5771342
473	159.4304043
474	159.1167057
475	158.466256
476	157.7868102
477	157.0587475
478	156.7050351
479	156.0619574
480	155.6362903
481	154.9589659
482	154.6786684
483	154.0846721
484	153.5957915
485	153.2361052
486	152.7672832
487	152.282436
488	151.7173708
489	150.8630991
490	150.4148107
491	149.7979155
492	149.0432793
493	148.1606285
494	147.3461201
495	146.987745
496	146.5521757
497	145.5882946
498	144.6740854
499	144.5217179
